Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3585351213434842
75% Corpus,2,0.01,0.31,0.37307255694472974
75% Corpus,2,0.01,0.61,0.3632558683309788
75% Corpus,2,0.01,0.9099999999999999,0.37906357149288106
75% Corpus,2,0.01,symmetric,0.3618382515183396
75% Corpus,2,0.31,0.01,0.3750652204501037
75% Corpus,2,0.31,0.31,0.37242993287916526
75% Corpus,2,0.31,0.61,0.3590597508560427
75% Corpus,2,0.31,0.9099999999999999,0.38304232443085173
75% Corpus,2,0.31,symmetric,0.3764250913509057
75% Corpus,2,0.61,0.01,0.362454466493379
75% Corpus,2,0.61,0.31,0.3764250913509057
75% Corpus,2,0.61,0.61,0.36115875258407026
75% Corpus,2,0.61,0.9099999999999999,0.37568897963898207
75% Corpus,2,0.61,symmetric,0.36115875258407026
75% Corpus,2,0.9099999999999999,0.01,0.3480151005212514
75% Corpus,2,0.9099999999999999,0.31,0.3611587525840702
75% Corpus,2,0.9099999999999999,0.61,0.36629729870724503
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.36629729870724503
75% Corpus,2,0.9099999999999999,symmetric,0.3611587525840702
75% Corpus,2,symmetric,0.01,0.35737196857435094
75% Corpus,2,symmetric,0.31,0.36938989045166226
75% Corpus,2,symmetric,0.61,0.3764250913509057
75% Corpus,2,symmetric,0.9099999999999999,0.39361977039105966
75% Corpus,2,symmetric,symmetric,0.36115875258407026
75% Corpus,2,asymmetric,0.01,0.29969486380562615
75% Corpus,2,asymmetric,0.31,0.39666750759060265
75% Corpus,2,asymmetric,0.61,0.37650827769645934
75% Corpus,2,asymmetric,0.9099999999999999,0.39893676985132265
75% Corpus,2,asymmetric,symmetric,0.37986993152622844
75% Corpus,3,0.01,0.01,0.37490230719894896
75% Corpus,3,0.01,0.31,0.3793332693418974
75% Corpus,3,0.01,0.61,0.35870756810140514
75% Corpus,3,0.01,0.9099999999999999,0.35294757229627255
75% Corpus,3,0.01,symmetric,0.3793332693418974
75% Corpus,3,0.31,0.01,0.38847312621904767
75% Corpus,3,0.31,0.31,0.3742300159518475
75% Corpus,3,0.31,0.61,0.36902853560298876
75% Corpus,3,0.31,0.9099999999999999,0.3762709749745001
75% Corpus,3,0.31,symmetric,0.38433436379639563
75% Corpus,3,0.61,0.01,0.40054448769328443
75% Corpus,3,0.61,0.31,0.3794042939618428
75% Corpus,3,0.61,0.61,0.3721202859515705
75% Corpus,3,0.61,0.9099999999999999,0.368736093784771
75% Corpus,3,0.61,symmetric,0.36898472491369
75% Corpus,3,0.9099999999999999,0.01,0.41832530909920784
75% Corpus,3,0.9099999999999999,0.31,0.3856631511999724
75% Corpus,3,0.9099999999999999,0.61,0.3834875409307732
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3817657294658143
75% Corpus,3,0.9099999999999999,symmetric,0.3775311437503818
75% Corpus,3,symmetric,0.01,0.3862322837886342
75% Corpus,3,symmetric,0.31,0.38211187153518034
75% Corpus,3,symmetric,0.61,0.37293119805662006
75% Corpus,3,symmetric,0.9099999999999999,0.37391768067108383
75% Corpus,3,symmetric,symmetric,0.3719990097355024
75% Corpus,3,asymmetric,0.01,0.38993957480004465
75% Corpus,3,asymmetric,0.31,0.3514706864522556
75% Corpus,3,asymmetric,0.61,0.39622863319805274
75% Corpus,3,asymmetric,0.9099999999999999,0.374117823711837
75% Corpus,3,asymmetric,symmetric,0.374471231941693
75% Corpus,4,0.01,0.01,0.4220298594709257
75% Corpus,4,0.01,0.31,0.45541070768233266
75% Corpus,4,0.01,0.61,0.4170892158770028
