Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.01,0.01,0.5497502303945402
75% Corpus,7,0.01,0.31,0.5213961142371731
75% Corpus,7,0.01,0.61,0.3974294285657338
75% Corpus,7,0.01,0.9099999999999999,0.4501650414210615
75% Corpus,7,0.01,symmetric,0.5193856599057022
75% Corpus,7,0.31,0.01,0.4841202439764656
75% Corpus,7,0.31,0.31,0.49872748857609267
75% Corpus,7,0.31,0.61,0.33480703620805796
75% Corpus,7,0.31,0.9099999999999999,0.46005566787587165
75% Corpus,7,0.31,symmetric,0.45531050650202515
75% Corpus,7,0.61,0.01,0.4861238324425668
75% Corpus,7,0.61,0.31,0.44212250298755124
75% Corpus,7,0.61,0.61,0.45889551890917407
75% Corpus,7,0.61,0.9099999999999999,0.4027670330760648
75% Corpus,7,0.61,symmetric,0.45187285932761984
75% Corpus,7,0.9099999999999999,0.01,0.47512428231046683
75% Corpus,7,0.9099999999999999,0.31,0.42992345680882915
75% Corpus,7,0.9099999999999999,0.61,0.4127033546593273
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.400680886658679
75% Corpus,7,0.9099999999999999,symmetric,0.49539292725330375
75% Corpus,7,symmetric,0.01,0.49064900073705286
75% Corpus,7,symmetric,0.31,0.4774428315721897
75% Corpus,7,symmetric,0.61,0.3940841486010136
75% Corpus,7,symmetric,0.9099999999999999,0.445030410911111
75% Corpus,7,symmetric,symmetric,0.535722097547735
75% Corpus,7,asymmetric,0.01,0.46163194792936807
75% Corpus,7,asymmetric,0.31,0.45877968036027167
75% Corpus,7,asymmetric,0.61,0.42879523304709977
75% Corpus,7,asymmetric,0.9099999999999999,0.46918659545229985
75% Corpus,7,asymmetric,symmetric,0.4828929838005311
75% Corpus,8,0.01,0.01,0.5547436684399953
75% Corpus,8,0.01,0.31,0.45439928562005827
75% Corpus,8,0.01,0.61,0.41706716781594333
75% Corpus,8,0.01,0.9099999999999999,0.42216413958041543
75% Corpus,8,0.01,symmetric,0.5179715478600165
75% Corpus,8,0.31,0.01,0.4840943584552885
75% Corpus,8,0.31,0.31,0.461405556118504
75% Corpus,8,0.31,0.61,0.4013469314481566
75% Corpus,8,0.31,0.9099999999999999,0.44501655062622586
75% Corpus,8,0.31,symmetric,0.48456326792622295
75% Corpus,8,0.61,0.01,0.5097925235123326
75% Corpus,8,0.61,0.31,0.4401022099479866
75% Corpus,8,0.61,0.61,0.38698164895362597
75% Corpus,8,0.61,0.9099999999999999,0.4916350698702956
75% Corpus,8,0.61,symmetric,0.4629716443535584
75% Corpus,8,0.9099999999999999,0.01,0.47088045880042484
75% Corpus,8,0.9099999999999999,0.31,0.40418809771475284
75% Corpus,8,0.9099999999999999,0.61,0.4230583601470298
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3708356475598703
75% Corpus,8,0.9099999999999999,symmetric,0.4776137905994864
75% Corpus,8,symmetric,0.01,0.5044609999570949
75% Corpus,8,symmetric,0.31,0.47320025211300376
75% Corpus,8,symmetric,0.61,0.4542781890341321
75% Corpus,8,symmetric,0.9099999999999999,0.4270684310104811
75% Corpus,8,symmetric,symmetric,0.4570807645743661
75% Corpus,8,asymmetric,0.01,0.4943110394152946
75% Corpus,8,asymmetric,0.31,0.4342773564636931
75% Corpus,8,asymmetric,0.61,0.4390888274485558
75% Corpus,8,asymmetric,0.9099999999999999,0.5230324199077373
75% Corpus,8,asymmetric,symmetric,0.43102924852078717
75% Corpus,9,0.01,0.01,0.5174575312769036
75% Corpus,9,0.01,0.31,0.5060133312203972
75% Corpus,9,0.01,0.61,0.39523422037550393
75% Corpus,9,0.01,0.9099999999999999,0.5041712385183583
75% Corpus,9,0.01,symmetric,0.4720669071875014
75% Corpus,9,0.31,0.01,0.4726702951181768
75% Corpus,9,0.31,0.31,0.4065763010690006
75% Corpus,9,0.31,0.61,0.45315719910459457
75% Corpus,9,0.31,0.9099999999999999,0.49897499733850115
75% Corpus,9,0.31,symmetric,0.4413371086937248
75% Corpus,9,0.61,0.01,0.43768234354181684
75% Corpus,9,0.61,0.31,0.42327410869815946
75% Corpus,9,0.61,0.61,0.37623496278374724
75% Corpus,9,0.61,0.9099999999999999,0.45575413375811036
75% Corpus,9,0.61,symmetric,0.40809929032130604
75% Corpus,9,0.9099999999999999,0.01,0.47660966670071403
75% Corpus,9,0.9099999999999999,0.31,0.40755114758205313
75% Corpus,9,0.9099999999999999,0.61,0.4072602909184495
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.36612846827722834
75% Corpus,9,0.9099999999999999,symmetric,0.4011328063376198
75% Corpus,9,symmetric,0.01,0.4491669635216949
75% Corpus,9,symmetric,0.31,0.4560740143902906
75% Corpus,9,symmetric,0.61,0.46957970193797927
75% Corpus,9,symmetric,0.9099999999999999,0.46058363541885655
75% Corpus,9,symmetric,symmetric,0.5095600102431741
75% Corpus,9,asymmetric,0.01,0.4710208026092183
75% Corpus,9,asymmetric,0.31,0.44697196088685015
75% Corpus,9,asymmetric,0.61,0.45340123897812074
75% Corpus,9,asymmetric,0.9099999999999999,0.490811364233576
75% Corpus,9,asymmetric,symmetric,0.3893569731072362
100% Corpus,7,0.01,0.01,0.44635006079815875
100% Corpus,7,0.01,0.31,0.4824366548313635
100% Corpus,7,0.01,0.61,0.45006000762061277
100% Corpus,7,0.01,0.9099999999999999,0.44675909524091606
100% Corpus,7,0.01,symmetric,0.4950185487084444
100% Corpus,7,0.31,0.01,0.46997801592608074
100% Corpus,7,0.31,0.31,0.4960814788910893
100% Corpus,7,0.31,0.61,0.47449542684906515
100% Corpus,7,0.31,0.9099999999999999,0.4078345068798615
100% Corpus,7,0.31,symmetric,0.48293373796480804
100% Corpus,7,0.61,0.01,0.47644276787307127
100% Corpus,7,0.61,0.31,0.4648510843236662
100% Corpus,7,0.61,0.61,0.36772473249329224
100% Corpus,7,0.61,0.9099999999999999,0.3820259248755281
100% Corpus,7,0.61,symmetric,0.4578402725251721
100% Corpus,7,0.9099999999999999,0.01,0.42601792663450494
100% Corpus,7,0.9099999999999999,0.31,0.408139193901942
100% Corpus,7,0.9099999999999999,0.61,0.4089178636950345
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.39204570948477785
100% Corpus,7,0.9099999999999999,symmetric,0.44716180228970936
100% Corpus,7,symmetric,0.01,0.4612723731674575
100% Corpus,7,symmetric,0.31,0.4810362133140682
100% Corpus,7,symmetric,0.61,0.45493657383945457
100% Corpus,7,symmetric,0.9099999999999999,0.4287345664065284
100% Corpus,7,symmetric,symmetric,0.44432726892106794
100% Corpus,7,asymmetric,0.01,0.4355272280589588
100% Corpus,7,asymmetric,0.31,0.49492921562626746
100% Corpus,7,asymmetric,0.61,0.5059145133184229
100% Corpus,7,asymmetric,0.9099999999999999,0.4578985762377584
100% Corpus,7,asymmetric,symmetric,0.4640747869012249
100% Corpus,8,0.01,0.01,0.5033184897670525
100% Corpus,8,0.01,0.31,0.45020197524544486
100% Corpus,8,0.01,0.61,0.43168590101871196
100% Corpus,8,0.01,0.9099999999999999,0.40712146722695397
100% Corpus,8,0.01,symmetric,0.490703825733958
100% Corpus,8,0.31,0.01,0.4438271927083526
100% Corpus,8,0.31,0.31,0.4711300298232925
100% Corpus,8,0.31,0.61,0.3951817722583228
100% Corpus,8,0.31,0.9099999999999999,0.5018483014936241
100% Corpus,8,0.31,symmetric,0.46133824106285015
100% Corpus,8,0.61,0.01,0.46792277268492377
100% Corpus,8,0.61,0.31,0.4254876893490769
100% Corpus,8,0.61,0.61,0.3906079079145405
100% Corpus,8,0.61,0.9099999999999999,0.41493909234486515
100% Corpus,8,0.61,symmetric,0.4616083192518925
100% Corpus,8,0.9099999999999999,0.01,0.4312025353300861
100% Corpus,8,0.9099999999999999,0.31,0.43573398858082346
100% Corpus,8,0.9099999999999999,0.61,0.4173126218415635
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.44166363004675613
100% Corpus,8,0.9099999999999999,symmetric,0.44612174368060364
100% Corpus,8,symmetric,0.01,0.46219769399025046
100% Corpus,8,symmetric,0.31,0.4568968799595991
100% Corpus,8,symmetric,0.61,0.4254235138252681
100% Corpus,8,symmetric,0.9099999999999999,0.41738704197430243
100% Corpus,8,symmetric,symmetric,0.46813774611057496
100% Corpus,8,asymmetric,0.01,0.46840418899391695
100% Corpus,8,asymmetric,0.31,0.412617794011751
100% Corpus,8,asymmetric,0.61,0.433636396347727
100% Corpus,8,asymmetric,0.9099999999999999,0.4333138586893156
100% Corpus,8,asymmetric,symmetric,0.4710273705530086
100% Corpus,9,0.01,0.01,0.44105277463489884
100% Corpus,9,0.01,0.31,0.45449539661427285
100% Corpus,9,0.01,0.61,0.4582390349113965
100% Corpus,9,0.01,0.9099999999999999,0.4469898105616925
100% Corpus,9,0.01,symmetric,0.4678275223961865
100% Corpus,9,0.31,0.01,0.46094837177402603
100% Corpus,9,0.31,0.31,0.42420046698152347
100% Corpus,9,0.31,0.61,0.443683048044537
100% Corpus,9,0.31,0.9099999999999999,0.37489436593219405
100% Corpus,9,0.31,symmetric,0.44155541919738983
