Topics;Alpha;Beta;Coherence
2;symmetric;0,31;0,73613721
6;asymmetric;0,31;0,723371772
5;0,91;0,61;0,718034171
9;0,61;0,91;0,708124925
7;0,91;0,91;0,705997772
9;0,61;0,61;0,705622595
4;0,91;0,01;0,705323459
3;0,31;0,91;0,705090328
2;0,31;0,31;0,70227779
4;0,31;0,01;0,701630284
3;0,61;0,01;0,699557585
7;0,91;0,61;0,699492856
6;0,91;0,31;0,698935907
9;0,91;0,31;0,698713813
6;0,91;0,01;0,698510022
9;0,91;0,01;0,697816462
9;0,61;symmetric;0,697734217
1;0,01;0,01;0,696901554
1;0,01;0,31;0,696901554
1;0,01;0,61;0,696901554
1;0,01;0,91;0,696901554
1;0,01;symmetric;0,696901554
1;0,31;0,01;0,696901554
1;0,31;0,31;0,696901554
1;0,31;0,61;0,696901554
1;0,31;0,91;0,696901554
1;0,31;symmetric;0,696901554
1;0,61;0,01;0,696901554
1;0,61;0,31;0,696901554
1;0,61;0,61;0,696901554
1;0,61;0,91;0,696901554
1;0,61;symmetric;0,696901554
1;0,91;0,01;0,696901554
1;0,91;0,31;0,696901554
1;0,91;0,61;0,696901554
1;0,91;0,91;0,696901554
1;0,91;symmetric;0,696901554
1;symmetric;0,01;0,696901554
1;symmetric;0,31;0,696901554
1;symmetric;0,61;0,696901554
1;symmetric;0,91;0,696901554
1;symmetric;symmetric;0,696901554
1;asymmetric;0,01;0,696901554
1;asymmetric;0,31;0,696901554
1;asymmetric;0,61;0,696901554
1;asymmetric;0,91;0,696901554
1;asymmetric;symmetric;0,696901554
8;0,91;0,61;0,696687962
3;0,01;0,91;0,696504559
5;0,01;0,61;0,696103538
5;0,91;0,91;0,695891488
4;0,61;0,01;0,695673881
9;0,91;0,91;0,695559219
9;0,91;symmetric;0,695500639
7;0,61;symmetric;0,695358532
3;0,61;symmetric;0,694896138
5;asymmetric;0,01;0,694401477
7;0,91;0,01;0,694397981
6;0,61;symmetric;0,692615192
6;symmetric;symmetric;0,692378533
2;asymmetric;0,91;0,69218094
4;0,91;0,61;0,6920803
5;asymmetric;0,31;0,692074578
5;0,91;symmetric;0,691750169
8;0,91;symmetric;0,691432529
6;asymmetric;0,01;0,691255616
2;symmetric;symmetric;0,691015546
9;0,91;0,61;0,69059716
3;asymmetric;symmetric;0,690434755
5;0,01;0,31;0,69029878
8;0,91;0,01;0,689613726
5;0,91;0,01;0,688969992
5;0,61;symmetric;0,688818535
6;0,91;0,91;0,688791421
4;symmetric;symmetric;0,688773701
7;0,91;0,31;0,688679044
4;symmetric;0,31;0,688467104
2;0,31;0,61;0,688424517
7;0,61;0,61;0,688170122
8;0,91;0,91;0,688140022
9;0,61;0,01;0,688039054
4;symmetric;0,91;0,687617853
5;0,91;0,31;0,687349993
3;0,91;0,61;0,687241115
2;0,91;0,01;0,686761054
8;0,61;0,61;0,686493381
5;0,01;0,91;0,686433707
4;asymmetric;0,31;0,686359662
3;0,01;symmetric;0,686273848
8;0,91;0,31;0,68621271
4;0,91;0,31;0,686150359
7;0,01;0,31;0,686088672
5;0,61;0,61;0,685797222
2;0,91;symmetric;0,684910224
7;0,61;0,01;0,684692561
7;0,61;0,31;0,684509755
6;0,91;0,61;0,684289788
8;0,61;symmetric;0,684025105
4;0,91;0,91;0,683955473
3;symmetric;0,31;0,683782552
6;0,61;0,91;0,683417984
4;0,31;symmetric;0,683340335
2;0,91;0,91;0,682871026
6;0,91;symmetric;0,682748232
3;0,31;0,61;0,682699034
7;0,91;symmetric;0,682265054
4;0,61;0,31;0,682098528
2;0,31;symmetric;0,681822168
2;symmetric;0,91;0,681773172
9;0,61;0,31;0,681284162
6;0,01;0,91;0,681104582
4;0,01;symmetric;0,680999974
8;0,61;0,91;0,680919501
7;symmetric;0,01;0,680908768
4;0,01;0,61;0,680770186
2;0,01;0,01;0,680677391
5;0,61;0,01;0,68059896
6;0,31;0,31;0,680595125
5;0,31;0,31;0,679757088
3;0,31;0,01;0,679733287
7;0,31;0,01;0,679218788
7;symmetric;0,91;0,679068597
6;0,61;0,01;0,679053119
5;0,61;0,91;0,677980078
3;0,91;0,91;0,677215332
4;0,61;symmetric;0,676772196
4;0,91;symmetric;0,676611074
7;0,31;symmetric;0,676528736
9;0,01;0,31;0,675382225
8;0,01;0,61;0,675009821
5;symmetric;0,61;0,674933346
5;asymmetric;0,91;0,67478598
3;0,61;0,31;0,674535844
6;0,61;0,31;0,674447303
4;0,61;0,61;0,674379016
4;0,31;0,31;0,67422361
7;symmetric;symmetric;0,673297015
3;symmetric;0,91;0,673096175
7;0,31;0,91;0,672891975
3;0,91;0,01;0,672726117
7;0,01;0,91;0,671846035
8;0,31;0,01;0,671634308
4;0,61;0,91;0,671261135
6;0,61;0,61;0,670913751
8;0,61;0,31;0,670896478
4;0,01;0,31;0,67085065
7;symmetric;0,31;0,670700901
2;0,61;0,01;0,670700769
8;0,61;0,01;0,669707654
3;0,61;0,61;0,669398547
2;0,01;symmetric;0,668852679
4;asymmetric;symmetric;0,668456581
5;symmetric;0,31;0,667731499
5;0,61;0,31;0,667491204
4;0,01;0,91;0,667032179
2;0,01;0,91;0,666838193
