Topics;Alpha;Beta;Coherence
5;0.01;0.01;
5;0.01;0.31;
5;0.01;0.61;0.44640396568071444
5;0.01;0.9099999999999999;
5;0.01;symmetric;
5;0.31;0.01;
5;0.31;0.31;
5;0.31;0.61;
5;0.31;0.9099999999999999;
5;0.31;symmetric;
5;0.61;0.01;
5;0.61;0.31;
5;0.61;0.61;
5;0.61;0.9099999999999999;0.4224904410813073
5;0.61;symmetric;
5;0.9099999999999999;0.01;
5;0.9099999999999999;0.31;
5;0.9099999999999999;0.61;0.4547294168045316
5;0.9099999999999999;0.9099999999999999;0.4565191790110574
5;0.9099999999999999;symmetric;
5;symmetric;0.01;
5;symmetric;0.31;0.3691651875222078
5;symmetric;0.61;
5;symmetric;0.9099999999999999;
5;symmetric;symmetric;
5;asymmetric;0.01;
5;asymmetric;0.31;
5;asymmetric;0.61;
5;asymmetric;0.9099999999999999;
5;asymmetric;symmetric;
6;0.01;0.01;
6;0.01;0.31;
6;0.01;0.61;
6;0.01;0.9099999999999999;
6;0.01;symmetric;0.4456285672904949
6;0.31;0.01;
6;0.31;0.31;
6;0.31;0.61;
6;0.31;0.9099999999999999;
6;0.31;symmetric;
6;0.61;0.01;
6;0.61;0.31;0.44908793885390286
6;0.61;0.61;
6;0.61;0.9099999999999999;
6;0.61;symmetric;
6;0.9099999999999999;0.01;0.42551631677969276
6;0.9099999999999999;0.31;0.43860117239347024
6;0.9099999999999999;0.61;
6;0.9099999999999999;0.9099999999999999;
6;0.9099999999999999;symmetric;0.42256373414986287
6;symmetric;0.01;
6;symmetric;0.31;
6;symmetric;0.61;
6;symmetric;0.9099999999999999;
6;symmetric;symmetric;
6;asymmetric;0.01;
6;asymmetric;0.31;
6;asymmetric;0.61;
6;asymmetric;0.9099999999999999;
6;asymmetric;symmetric;
7;0.01;0.01;
7;0.01;0.31;
7;0.01;0.61;
7;0.01;0.9099999999999999;
7;0.01;symmetric;
7;0.31;0.01;
7;0.31;0.31;
7;0.31;0.61;
7;0.31;0.9099999999999999;
7;0.31;symmetric;
7;0.61;0.01;
7;0.61;0.31;
7;0.61;0.61;
7;0.61;0.9099999999999999;
7;0.61;symmetric;0.4693721726473212
7;0.9099999999999999;0.01;
7;0.9099999999999999;0.31;
7;0.9099999999999999;0.61;0.44389447463406667
7;0.9099999999999999;0.9099999999999999;0.452773906671171
7;0.9099999999999999;symmetric;
7;symmetric;0.01;
7;symmetric;0.31;
7;symmetric;0.61;
7;symmetric;0.9099999999999999;
7;symmetric;symmetric;
7;asymmetric;0.01;
7;asymmetric;0.31;
7;asymmetric;0.61;
7;asymmetric;0.9099999999999999;
7;asymmetric;symmetric;
8;0.01;0.01;
8;0.01;0.31;
8;0.01;0.61;
8;0.01;0.9099999999999999;
8;0.01;symmetric;
8;0.31;0.01;
8;0.31;0.31;
8;0.31;0.61;
8;0.31;0.9099999999999999;
8;0.31;symmetric;
8;0.61;0.01;
8;0.61;0.31;
8;0.61;0.61;
8;0.61;0.9099999999999999;
8;0.61;symmetric;
8;0.9099999999999999;0.01;0.46401425713138506
8;0.9099999999999999;0.31;0.46828391598336694
8;0.9099999999999999;0.61;0.42774195562513917
8;0.9099999999999999;0.9099999999999999;
8;0.9099999999999999;symmetric;0.4410481093798283
8;symmetric;0.01;
8;symmetric;0.31;
8;symmetric;0.61;
8;symmetric;0.9099999999999999;
8;symmetric;symmetric;
8;asymmetric;0.01;
8;asymmetric;0.31;
8;asymmetric;0.61;
8;asymmetric;0.9099999999999999;
8;asymmetric;symmetric;
9;0.01;0.01;
9;0.01;0.31;
9;0.01;0.61;
9;0.01;0.9099999999999999;
9;0.01;symmetric;
9;0.31;0.01;
9;0.31;0.31;
9;0.31;0.61;
9;0.31;0.9099999999999999;
9;0.31;symmetric;
9;0.61;0.01;
9;0.61;0.31;0.45963459976926696
9;0.61;0.61;
9;0.61;0.9099999999999999;
9;0.61;symmetric;
9;0.9099999999999999;0.01;
9;0.9099999999999999;0.31;0.4466714632295727
9;0.9099999999999999;0.61;
9;0.9099999999999999;0.9099999999999999;
9;0.9099999999999999;symmetric;0.43580514513616675
9;symmetric;0.01;
9;symmetric;0.31;
9;symmetric;0.61;
9;symmetric;0.9099999999999999;
9;symmetric;symmetric;
9;asymmetric;0.01;
9;asymmetric;0.31;
9;asymmetric;0.61;
9;asymmetric;0.9099999999999999;
9;asymmetric;symmetric;
10;0.01;0.01;
10;0.01;0.31;
10;0.01;0.61;
10;0.01;0.9099999999999999;
10;0.01;symmetric;
10;0.31;0.01;
10;0.31;0.31;
10;0.31;0.61;
10;0.31;0.9099999999999999;
10;0.31;symmetric;
10;0.61;0.01;
10;0.61;0.31;
10;0.61;0.61;
10;0.61;0.9099999999999999;
10;0.61;symmetric;
10;0.9099999999999999;0.01;
10;0.9099999999999999;0.31;
10;0.9099999999999999;0.61;
10;0.9099999999999999;0.9099999999999999;
10;0.9099999999999999;symmetric;0.4431352803594672
10;symmetric;0.01;
10;symmetric;0.31;
10;symmetric;0.61;
10;symmetric;0.9099999999999999;
10;symmetric;symmetric;
10;asymmetric;0.01;
